State,District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),,
,,2007 - 2008,"148,528.00","344,876.00",2.32,,
,,2008 - 2009,"146,433.00","398,091.00",2.72,,
,,2009 - 2010,"144,989.00","345,218.00",2.38,,
,,2010 - 2011,"147,798.00","415,599.00",2.81,,
,,2011 - 2012,"148,783.00","436,512.00",2.93,,
,,2012 - 2013,"146,677.00","413,042.00",2.82,,
,,2013 - 2014,"147,814.00","415,653.00",2.81,,
,,2014 - 2015,"138,562.00","191,903.00",1.38,,
,,2015 - 2016,"169,728.00","371,365.00",2.19,,
,,2016 - 2017,"150,562.00","463,731.00",3.08,,
,,2017 - 2018,"148,317.00","469,720.00",3.17,,
,,2018 - 2019,"150,515.00","514,761.00",3.42,,
,,2019 - 2020,"148,014.00","508,428.00",3.43,,
,,2020 - 2021,"147,069.00","502,535.00",3.42,,
,,2021 - 2022,"153,848.00","508,621.00",3.31,,
,,2022 - 2023,"160,468.00","540,296.00",3.37,,
,61. Rae bareli,1997 - 1998,"169,054.00","324,779.00",1.92,,
,,1998 - 1999,"171,889.00","349,843.00",2.04,,
,,1999 - 2000,"174,488.00","405,706.00",2.33,,
,,2000 - 2001,"174,808.00","382,444.00",2.19,,
,,2001 - 2002,"177,911.00","394,379.00",2.22,,
,,2002 - 2003,"181,384.00","369,605.00",2.04,,
,,2003 - 2004,"183,703.00","421,984.00",2.3,,
,,2004 - 2005,"183,488.00","394,478.00",2.15,,
,,2005 - 2006,"184,790.00","380,296.00",2.06,,
,,2006 - 2007,"184,220.00","431,415.00",2.34,,
,,2007 - 2008,"179,429.00","417,668.00",2.33,,
,,2008 - 2009,"187,533.00","477,643.00",2.55,,
,,2009 - 2010,"189,172.00","472,714.00",2.5,,
,,2010 - 2011,"166,471.00","448,960.00",2.7,,
,,2011 - 2012,"132,299.00","379,830.00",2.87,,
,,2012 - 2013,"131,752.00","373,644.00",2.84,,
,,2013 - 2014,"134,767.00","400,393.00",2.97,,
,,2014 - 2015,"167,432.00","270,235.00",1.61,,
,,2015 - 2016,"167,579.00","329,963.00",1.97,,
,,2016 - 2017,"133,720.00","438,200.00",3.28,,
,,2017 - 2018,"132,317.00","444,982.00",3.36,,
,,2018 - 2019,"133,804.00","461,089.00",3.45,,
,,2019 - 2020,"133,141.00","447,753.00",3.36,,
,,2020 - 2021,"135,517.00","528,381.00",3.9,,
,,2021 - 2022,"139,506.00","450,604.00",3.23,,
,,2022 - 2023,"168,080.00","586,095.00",3.49,,
,62. Rampur,1997 - 1998,"113,537.00","355,416.00",3.13,,
,,1998 - 1999,"123,479.00","399,829.00",3.24,,
,,1999 - 2000,"129,140.00","459,512.00",3.56,,
,,2000 - 2001,"133,686.00","489,037.00",3.66,,
,,2001 - 2002,"133,854.00","466,293.00",3.48,,
,,2002 - 2003,"127,615.00","387,862.00",3.04,,
,,2003 - 2004,"139,277.00","487,304.00",3.5,,
,,2004 - 2005,"143,963.00","429,175.00",2.98,,
,,2005 - 2006,"121,309.00","369,386.00",3.05,,
,,2006 - 2007,"140,239.00","451,990.00",3.22,,
,,2007 - 2008,"146,951.00","496,837.00",3.38,,
,,2008 - 2009,"135,631.00","469,961.00",3.46,,
,,2009 - 2010,"148,645.00","486,069.00",3.27,,
,,2010 - 2011,"144,796.00","491,872.00",3.4,,
,,2011 - 2012,"144,074.00","504,115.00",3.5,,
,,2012 - 2013,"140,318.00","487,184.00",3.47,,
,,2013 - 2014,"147,277.00","508,106.00",3.45,,
,,2014 - 2015,"147,846.00","264,644.00",1.79,,
,,2015 - 2016,"133,654.00","457,498.00",3.42,,
,,2016 - 2017,"142,046.00","556,820.00",3.92,,
,,2017 - 2018,"149,252.00","598,202.00",4.01,,
,,2018 - 2019,"148,838.00","639,706.00",4.3,,
,,2019 - 2020,"145,657.00","597,776.00",4.1,,
,,2020 - 2021,"144,307.00","610,996.00",4.23,,
,,2021 - 2022,"158,692.00","664,126.00",4.18,,
,,2022 - 2023,"150,410.00","619,990.00",4.12,,
,63. Saharanpur,1997 - 1998,"126,784.00","356,303.00",2.81,,
,,1998 - 1999,"126,209.00","354,722.00",2.81,,
,,1999 - 2000,"125,274.00","380,873.00",3.04,,
,,2000 - 2001,"121,506.00","357,788.00",2.94,,
,,2001 - 2002,"115,362.00","343,928.00",2.98,,
,,2002 - 2003,"115,306.00","331,467.00",2.87,,
,,2003 - 2004,"122,149.00","354,308.00",2.9,,
,,2004 - 2005,"120,088.00","320,022.00",2.66,,
,,2005 - 2006,"116,145.00","311,849.00",2.68,,
,,2006 - 2007,"114,276.00","335,857.00",2.94,,
,,2007 - 2008,"115,197.00","332,343.00",2.88,,
,,2008 - 2009,"139,357.00","412,915.00",2.96,,
,,2009 - 2010,"112,619.00","343,713.00",3.05,,
,,2010 - 2011,"106,909.00","320,727.00",3,,
,,2011 - 2012,"112,582.00","391,335.00",3.48,,
,,2012 - 2013,"110,575.00","374,739.00",3.39,,
,,2013 - 2014,"109,144.00","378,184.00",3.47,,
,,2014 - 2015,"118,844.00","244,224.00",2.05,,
,,2015 - 2016,"112,433.00","377,213.00",3.36,,
,,2016 - 2017,"112,624.00","423,128.00",3.76,,
,,2017 - 2018,"111,963.00","435,984.00",3.89,,
,,2018 - 2019,"111,995.00","472,283.00",4.22,,
,,2019 - 2020,"111,829.00","435,238.00",3.89,,
,,2020 - 2021,"112,258.00","466,881.00",4.16,,
,,2021 - 2022,"116,564.00","474,066.00",4.07,,
,,2022 - 2023,"111,810.00","465,912.00",4.17,,
,64. Sambhal,2012 - 2013,"140,493.00","450,702.00",3.21,,
,,2013 - 2014,"139,875.00","492,500.00",3.52,,
,,2014 - 2015,"143,456.00","283,613.00",1.98,,
,,2015 - 2016,"135,993.00","417,499.00",3.07,,
,,2016 - 2017,"136,437.00","476,574.00",3.49,,
,,2017 - 2018,"140,565.00","502,098.00",3.57,,
,,2018 - 2019,"139,858.00","564,047.00",4.03,,
,,2019 - 2020,"138,781.00","572,194.00",4.12,,
,,2020 - 2021,"138,648.00","567,764.00",4.1,,
,,2021 - 2022,"144,823.00","578,858.00",4,,
,,2022 - 2023,"138,066.00","568,004.00",4.11,,
,65. Sant kabeer nagar,1997 - 1998,"79,324.00","184,883.00",2.33,,
,,1998 - 1999,"78,031.00","167,957.00",2.15,,
,,1999 - 2000,"78,125.00","225,566.00",2.89,,
,,2000 - 2001,"83,803.00","202,647.00",2.42,,
,,2001 - 2002,"89,677.00","238,337.00",2.66,,
,,2002 - 2003,"87,964.00","208,651.00",2.37,,
,,2003 - 2004,"90,847.00","236,098.00",2.6,,
,,2004 - 2005,"90,187.00","209,399.00",2.32,,
,,2005 - 2006,"84,569.00","179,033.00",2.12,,
,,2006 - 2007,"90,187.00","221,508.00",2.46,,
,,2007 - 2008,"91,295.00","240,928.00",2.64,,
,,2008 - 2009,"92,660.00","250,553.00",2.7,,
,,2009 - 2010,"91,717.00","252,864.00",2.76,,
,,2010 - 2011,"90,776.00","251,903.00",2.77,,
,,2011 - 2012,"91,629.00","266,457.00",2.91,,
,,2012 - 2013,"91,860.00","274,110.00",2.98,,
,,2013 - 2014,"92,210.00","304,201.00",3.3,,
,,2014 - 2015,"90,522.00","224,042.00",2.48,,
,,2015 - 2016,"90,896.00","231,058.00",2.54,,
,,2016 - 2017,"91,776.00","309,944.00",3.38,,
,,2017 - 2018,"90,569.00","290,274.00",3.21,,
,,2018 - 2019,"91,366.00","306,624.00",3.36,,
,,2019 - 2020,"90,988.00","355,399.00",3.91,,
,,2020 - 2021,"91,078.00","376,972.00",4.14,,
,,2021 - 2022,"95,295.00","394,521.00",4.14,,
,,2022 - 2023,"104,802.00","422,981.00",4.04,,
,66. Sant ravidas nagar,1997 - 1998,"44,792.00","131,500.00",2.94,,
,,1998 - 1999,"45,432.00","89,822.00",1.98,,
,,1999 - 2000,"47,071.00","119,380.00",2.54,,
,,2000 - 2001,"47,490.00","115,353.00",2.43,,
,,2001 - 2002,"45,282.00","104,577.00",2.31,,
,,2002 - 2003,"46,202.00","96,504.00",2.09,,
,,2003 - 2004,"46,434.00","101,931.00",2.2,,
,,2004 - 2005,"46,740.00","73,047.00",1.56,,
,,2005 - 2006,"47,416.00","97,772.00",2.06,,
,,2006 - 2007,"37,926.00","92,691.00",2.44,,
,,2007 - 2008,"47,158.00","103,606.00",2.2,,
,,2008 - 2009,"46,622.00","121,539.00",2.61,,
,,2009 - 2010,"48,144.00","107,554.00",2.23,,
,,2010 - 2011,"44,634.00","128,055.00",2.87,,
,,2011 - 2012,"47,418.00","149,041.00",3.14,,
,,2012 - 2013,"48,269.00","137,416.00",2.85,,
,,2013 - 2014,"48,216.00","131,630.00",2.73,,
,,2014 - 2015,"48,033.00","74,114.00",1.54,,
,,2015 - 2016,"48,930.00","108,576.00",2.22,,
,,2016 - 2017,"47,044.00","156,092.00",3.32,,
,,2017 - 2018,"49,038.00","186,639.00",3.81,,
,,2018 - 2019,"49,437.00","185,620.00",3.75,,
,,2019 - 2020,"46,356.00","127,287.00",2.75,,
,,2020 - 2021,"47,585.00","172,591.00",3.63,,
,,2021 - 2022,"49,711.00","176,872.00",3.56,,
,,2022 - 2023,"48,863.00","136,621.00",2.8,,
,67. Shahjahanpur,1997 - 1998,"216,503.00","667,049.00",3.08,,
,,1998 - 1999,"243,703.00","674,459.00",2.77,,
,,1999 - 2000,"252,100.00","799,254.00",3.17,,
,,2000 - 2001,"257,834.00","844,816.00",3.28,,
,,2001 - 2002,"260,163.00","857,663.00",3.3,,
,,2002 - 2003,"242,036.00","768,266.00",3.17,,
,,2003 - 2004,"252,370.00","808,690.00",3.2,,
,,2004 - 2005,"252,570.00","782,584.00",3.1,,
,,2005 - 2006,"247,112.00","864,892.00",3.5,,
,,2006 - 2007,"252,570.00","869,346.00",3.44,,
,,2007 - 2008,"248,575.00","895,865.00",3.6,,
,,2008 - 2009,"253,928.00","915,410.00",3.6,,
,,2009 - 2010,"259,172.00","927,317.00",3.58,,
,,2010 - 2011,"249,556.00","898,651.00",3.6,,
,,2011 - 2012,"247,222.00","940,185.00",3.8,,
,,2012 - 2013,"264,247.00","959,481.00",3.63,,
,,2013 - 2014,"255,240.00","934,689.00",3.66,,
,,2014 - 2015,"260,462.00","517,017.00",1.98,,
,,2015 - 2016,"253,360.00","889,040.00",3.51,,
,,2016 - 2017,"250,679.00","1,054,356.00",4.21,,
,,2017 - 2018,"247,700.00","989,809.00",4,,
,,2018 - 2019,"272,458.00","1,216,792.00",4.47,,
,,2019 - 2020,"256,371.00","1,113,932.00",4.35,,
,,2020 - 2021,"252,861.00","1,126,749.00",4.46,,
,,2021 - 2022,"266,855.00","1,192,575.00",4.47,,
,,2022 - 2023,"231,514.00","1,006,854.00",4.35,,
,68. Shamli,2012 - 2013,"50,033.00","188,124.00",3.76,,
,,2013 - 2014,"46,385.00","173,665.00",3.74,,
,,2014 - 2015,"49,296.00","149,367.00",3.03,,
,,2015 - 2016,"53,363.00","217,241.00",4.07,,
,,2016 - 2017,"49,142.00","208,608.00",4.25,,
,,2017 - 2018,"49,633.00","228,014.00",4.59,,
,,2018 - 2019,"48,655.00","222,451.00",4.57,,
,,2019 - 2020,"48,689.00","231,711.00",4.76,,
,,2020 - 2021,"50,333.00","242,001.00",4.81,,
,,2021 - 2022,"51,942.00","226,155.00",4.35,,
,,2022 - 2023,"55,001.00","268,845.00",4.89,,
,69. Shravasti,1997 - 1998,"80,899.00","159,238.00",1.97,,
,,1998 - 1999,"81,620.00","172,354.00",2.11,,
,,1999 - 2000,"90,059.00","215,379.00",2.39,,
,,2000 - 2001,"93,469.00","211,766.00",2.27,,
,,2001 - 2002,"60,549.00","151,480.00",2.5,,
,,2002 - 2003,"59,790.00","127,578.00",2.13,,
,,2003 - 2004,"59,693.00","162,825.00",2.73,,
,,2004 - 2005,"58,437.00","134,523.00",2.3,,
,,2005 - 2006,"62,816.00","142,655.00",2.27,,
,,2006 - 2007,"58,426.00","153,251.00",2.62,,
,,2007 - 2008,"59,470.00","137,614.00",2.31,,
,,2008 - 2009,"60,890.00","162,515.00",2.67,,
,,2009 - 2010,"58,266.00","155,622.00",2.67,,
,,2010 - 2011,"62,301.00","169,210.00",2.72,,
,,2011 - 2012,"67,143.00","198,340.00",2.95,,
,,2012 - 2013,"63,787.00","171,523.00",2.69,,
,,2013 - 2014,"70,928.00","216,401.00",3.05,,
,,2014 - 2015,"68,165.00","182,410.00",2.68,,
,,2015 - 2016,"70,143.00","186,300.00",2.66,,
,,2016 - 2017,"70,872.00","212,687.00",3,,
,,2017 - 2018,"68,574.00","220,945.00",3.22,,
,,2018 - 2019,"72,186.00","246,948.00",3.42,,
,,2019 - 2020,"70,486.00","233,943.00",3.32,,
,,2020 - 2021,"70,402.00","238,944.00",3.39,,
,,2021 - 2022,"73,327.00","264,124.00",3.6,,
,,2022 - 2023,"98,200.00","328,970.00",3.35,,
,70. Siddharth nagar,1997 - 1998,"125,071.00","265,528.00",2.12,,
,,1998 - 1999,"125,339.00","289,935.00",2.31,,
,,1999 - 2000,"128,653.00","377,736.00",2.94,,
,,2000 - 2001,"130,412.00","357,941.00",2.74,,
,,2001 - 2002,"128,961.00","312,721.00",2.42,,
,,2002 - 2003,"148,348.00","303,272.00",2.04,,
,,2003 - 2004,"144,404.00","353,931.00",2.45,,
,,2004 - 2005,"145,118.00","252,776.00",1.74,,
,,2005 - 2006,"145,043.00","371,890.00",2.56,,
,,2006 - 2007,"152,837.00","385,149.00",2.52,,
,,2007 - 2008,"167,141.00","375,232.00",2.25,,
,,2008 - 2009,"167,255.00","422,821.00",2.53,,
,,2009 - 2010,"166,621.00","388,394.00",2.33,,
,,2010 - 2011,"159,332.00","499,984.00",3.14,,
,,2011 - 2012,"157,619.00","537,638.00",3.41,,
,,2012 - 2013,"159,883.00","567,105.00",3.55,,
,,2013 - 2014,"157,897.00","596,693.00",3.78,,
,,2014 - 2015,"161,544.00","408,222.00",2.53,,
,,2015 - 2016,"150,792.00","503,947.00",3.34,,
,,2016 - 2017,"156,380.00","618,796.00",3.96,,
,,2017 - 2018,"158,257.00","629,705.00",3.98,,
,,2018 - 2019,"157,672.00","689,815.00",4.38,,
,,2019 - 2020,"157,091.00","636,847.00",4.05,,
,,2020 - 2021,"156,385.00","619,597.00",3.96,,
,,2021 - 2022,"163,931.00","673,101.00",4.11,,
,,2022 - 2023,"180,842.00","723,911.00",4,,
,71. Sitapur,1997 - 1998,"192,766.00","423,769.00",2.2,,
,,1998 - 1999,"199,123.00","443,661.00",2.23,,
,,1999 - 2000,"198,814.00","481,591.00",2.42,,
,,2000 - 2001,"206,207.00","459,802.00",2.23,,
,,2001 - 2002,"198,535.00","487,280.00",2.45,,
,,2002 - 2003,"198,589.00","484,999.00",2.44,,
,,2003 - 2004,"215,644.00","542,147.00",2.51,,
,,2004 - 2005,"209,974.00","476,720.00",2.27,,
,,2005 - 2006,"202,584.00","484,784.00",2.39,,
,,2006 - 2007,"190,985.00","522,614.00",2.74,,
,,2007 - 2008,"188,632.00","522,105.00",2.77,,
,,2008 - 2009,"223,913.00","656,513.00",2.93,,
,,2009 - 2010,"223,901.00","592,666.00",2.65,,
,,2010 - 2011,"217,102.00","665,418.00",3.07,,
,,2011 - 2012,"215,859.00","682,114.00",3.16,,
,,2012 - 2013,"212,016.00","674,635.00",3.18,,
,,2013 - 2014,"210,932.00","651,569.00",3.09,,
,,2014 - 2015,"208,675.00","372,484.00",1.78,,
,,2015 - 2016,"214,593.00","533,264.00",2.49,,
,,2016 - 2017,"212,207.00","715,562.00",3.37,,
,,2017 - 2018,"210,935.00","685,961.00",3.25,,
,,2018 - 2019,"205,409.00","714,823.00",3.48,,
,,2019 - 2020,"208,656.00","700,876.00",3.36,,
,,2020 - 2021,"210,592.00","764,449.00",3.63,,
,,2021 - 2022,"219,450.00","831,935.00",3.79,,
,,2022 - 2023,"209,869.00","793,305.00",3.78,,
,72. Sonbhadra,1997 - 1998,"58,020.00","59,628.00",1.03,,
,,1998 - 1999,"58,323.00","62,289.00",1.07,,
,,1999 - 2000,"58,876.00","80,314.00",1.36,,
,,2000 - 2001,"59,174.00","71,567.00",1.21,,
,,2001 - 2002,"61,150.00","99,663.00",1.63,,
,,2002 - 2003,"63,344.00","105,689.00",1.67,,
,,2003 - 2004,"68,750.00","98,798.00",1.44,,
,,2004 - 2005,"52,029.00","53,275.00",1.02,,
,,2005 - 2006,"68,750.00","69,866.00",1.02,,
,,2006 - 2007,"52,112.00","67,457.00",1.29,,
,,2007 - 2008,"22,193.00","35,292.00",1.59,,
,,2008 - 2009,"47,669.00","71,770.00",1.51,,
,,2009 - 2010,"56,692.00","107,924.00",1.9,,
,,2010 - 2011,"53,912.00","92,894.00",1.72,,
,,2011 - 2012,"55,981.00","105,693.00",1.89,,
,,2012 - 2013,"54,811.00","117,261.00",2.14,,
,,2013 - 2014,"57,853.00","135,887.00",2.35,,
,,2014 - 2015,"57,789.00","117,617.00",2.04,,
,,2015 - 2016,"58,322.00","92,744.00",1.59,,
,,2016 - 2017,"56,012.00","134,857.00",2.41,,
,,2017 - 2018,"54,274.00","127,922.00",2.36,,
,,2018 - 2019,"57,964.00","156,734.00",2.7,,
,,2019 - 2020,"60,343.00","144,001.00",2.39,,
,,2020 - 2021,"57,786.00","151,646.00",2.62,,
,,2021 - 2022,"63,408.00","175,957.00",2.77,,
,,2022 - 2023,"81,130.00","231,058.00",2.85,,
,73. Sultanpur,1997 - 1998,"162,420.00","428,513.00",2.64,,
,,1998 - 1999,"163,360.00","393,140.00",2.41,,
,,1999 - 2000,"163,955.00","443,276.00",2.7,,
,,2000 - 2001,"163,002.00","413,259.00",2.54,,
,,2001 - 2002,"163,760.00","431,839.00",2.64,,
,,2002 - 2003,"165,268.00","424,135.00",2.57,,
,,2003 - 2004,"166,983.00","462,053.00",2.77,,
,,2004 - 2005,"167,024.00","422,457.00",2.53,,
,,2005 - 2006,"164,944.00","425,554.00",2.58,,
,,2006 - 2007,"165,817.00","452,172.00",2.73,,
,,2007 - 2008,"168,720.00","471,569.00",2.79,,
,,2008 - 2009,"169,501.00","478,331.00",2.82,,
,,2009 - 2010,"169,281.00","462,122.00",2.73,,
,,2010 - 2011,"103,237.00","327,043.00",3.17,,
,,2011 - 2012,"104,286.00","332,464.00",3.19,,
,,2012 - 2013,"104,661.00","325,914.00",3.11,,
,,2013 - 2014,"104,250.00","256,247.00",2.46,,
,,2014 - 2015,"104,295.00","238,836.00",2.29,,
,,2015 - 2016,"116,068.00","329,401.00",2.84,,
,,2016 - 2017,"101,118.00","342,487.00",3.39,,
,,2017 - 2018,"114,555.00","461,653.00",4.03,,
,,2018 - 2019,"104,661.00","436,855.00",4.17,,
,,2019 - 2020,"104,036.00","412,815.00",3.97,,
,,2020 - 2021,"104,600.00","403,756.00",3.86,,
,,2021 - 2022,"109,991.00","447,663.00",4.07,,
,,2022 - 2023,"116,559.00","449,568.00",3.86,,
,74. Unnao,1997 - 1998,"193,705.00","436,790.00",2.25,,
,,1998 - 1999,"197,635.00","430,859.00",2.18,,
,,1999 - 2000,"207,814.00","518,877.00",2.5,,
,,2000 - 2001,"206,256.00","469,647.00",2.28,,
,,2001 - 2002,"209,993.00","515,813.00",2.46,,
,,2002 - 2003,"213,721.00","538,964.00",2.52,,
,,2003 - 2004,"218,556.00","565,367.00",2.59,,
,,2004 - 2005,"223,707.00","542,488.00",2.42,,
,,2005 - 2006,"218,555.00","520,358.00",2.38,,
,,2006 - 2007,"222,960.00","638,307.00",2.86,,
,,2007 - 2008,"226,162.00","599,103.00",2.65,,
,,2008 - 2009,"232,176.00","686,542.00",2.96,,
,,2009 - 2010,"236,773.00","653,471.00",2.76,,
,,2010 - 2011,"239,040.00","708,754.00",2.97,,
,,2011 - 2012,"240,711.00","718,277.00",2.98,,
,,2012 - 2013,"240,113.00","686,003.00",2.86,,
,,2013 - 2014,"241,717.00","736,753.00",3.05,,
,,2014 - 2015,"243,188.00","488,078.00",2.01,,
,,2015 - 2016,"237,761.00","528,305.00",2.22,,
,,2016 - 2017,"242,102.00","772,547.00",3.19,,
,,2017 - 2018,"244,358.00","798,318.00",3.27,,
,,2018 - 2019,"241,879.00","937,039.00",3.87,,
,,2019 - 2020,"242,533.00","801,572.00",3.31,,
,,2020 - 2021,"242,573.00","844,154.00",3.48,,
,,2021 - 2022,"252,710.00","861,741.00",3.41,,
,,2022 - 2023,"241,665.00","846,794.00",3.5,,
,75. Varanasi,1997 - 1998,"69,282.00","199,806.00",2.88,,
,,1998 - 1999,"68,591.00","154,746.00",2.26,,
,,1999 - 2000,"68,652.00","185,859.00",2.71,,
,,2000 - 2001,"67,491.00","170,635.00",2.53,,
,,2001 - 2002,"64,746.00","165,141.00",2.55,,
,,2002 - 2003,"66,918.00","142,279.00",2.13,,
,,2003 - 2004,"68,777.00","178,850.00",2.6,,
,,2004 - 2005,"69,457.00","132,019.00",1.9,,
,,2005 - 2006,"69,323.00","148,663.00",2.14,,
,,2006 - 2007,"69,702.00","176,671.00",2.53,,
,,2007 - 2008,"76,433.00","194,260.00",2.54,,
,,2008 - 2009,"69,728.00","196,842.00",2.82,,
,,2009 - 2010,"70,988.00","178,387.00",2.51,,
,,2010 - 2011,"70,642.00","198,007.00",2.8,,
,,2011 - 2012,"69,610.00","210,381.00",3.02,,
,,2012 - 2013,"69,705.00","214,609.00",3.08,,
,,2013 - 2014,"69,399.00","188,955.00",2.72,,
,,2014 - 2015,"68,617.00","127,010.00",1.85,,
,,2015 - 2016,"68,502.00","165,021.00",2.41,,
,,2016 - 2017,"70,914.00","239,146.00",3.37,,
,,2017 - 2018,"69,363.00","234,528.00",3.38,,
,,2018 - 2019,"68,973.00","241,128.00",3.5,,
,,2019 - 2020,"68,369.00","225,602.00",3.3,,
,,2020 - 2021,"69,795.00","256,304.00",3.67,,
,,2021 - 2022,"72,087.00","259,153.00",3.6,,
,,2022 - 2023,"70,793.00","173,726.00",2.45,,
